BAG_ID_Pand,status
0518100000203218,occur_both
0518100000203232,occur_both
0518100000203272,occur_both
0518100000203296,occur_both
0518100000203446,occur_both
0518100000203474,occur_both
0518100000203525,occur_both
0518100000203526,occur_both
0518100000203528,occur_both
0518100000203540,occur_both
0518100000203549,occur_both
0518100000203584,occur_both
0518100000203597,occur_both
0518100000203709,occur_both
0518100000203710,occur_both
0518100000203751,occur_both
0518100000203762,occur_both
0518100000203807,occur_both
0518100000203808,occur_both
0518100000203815,occur_both
0518100000203819,occur_both
0518100000203858,occur_both
0518100000203928,occur_both
0518100000203947,occur_both
0518100000203962,occur_both
0518100000203963,occur_both
0518100000203969,occur_both
0518100000203970,occur_both
0518100000203971,occur_both
0518100000203972,occur_both
0518100000204004,occur_both
0518100000204025,occur_both
0518100000204040,occur_both
0518100000204052,occur_both
0518100000204053,occur_both
0518100000204054,occur_both
0518100000204141,occur_both
0518100000204143,occur_both
0518100000204150,occur_both
0518100000204151,occur_both
0518100000204153,occur_both
0518100000204154,occur_both
0518100000204166,occur_both
0518100000204171,occur_both
0518100000204174,occur_both
0518100000204175,occur_both
0518100000204204,occur_both
0518100000204215,occur_both
0518100000204302,occur_both
0518100000204364,occur_both
0518100000204365,occur_both
0518100000204366,occur_both
0518100000204367,occur_both
0518100000204368,occur_both
0518100000204369,occur_both
0518100000204402,occur_both
0518100000204411,occur_both
0518100000204442,occur_both
0518100000204511,occur_both
0518100000204512,occur_both
0518100000204513,occur_both
0518100000204516,occur_both
0518100000204517,occur_both
0518100000204524,occur_both
0518100000204526,occur_both
0518100000204528,occur_both
0518100000204529,occur_both
0518100000204533,occur_both
0518100000204559,occur_both
0518100000204721,occur_both
0518100000204917,occur_both
0518100000205012,occur_both
0518100000205128,occur_both
0518100000205153,occur_both
0518100000205182,occur_both
0518100000205217,occur_both
0518100000205218,occur_both
0518100000205226,occur_both
0518100000205245,occur_both
0518100000205246,occur_both
0518100000205247,occur_both
0518100000205253,occur_both
0518100000205257,occur_both
0518100000205285,occur_both
0518100000205337,occur_both
0518100000205400,occur_both
0518100000205527,occur_both
0518100000205528,occur_both
0518100000205530,occur_both
0518100000205536,occur_both
0518100000205543,occur_both
